"device_id","parent_id","company_id","device_uuid","device_type_id","device_type","device_os","carrier_name","mcc","mnc","n_mcc","n_mnc","s_mcc","s_mnc","r_mcc","r_mnc","language","latest_post","device_secret","create_date","cpu_info","cpu_max_speed"
"2239793","1990738",11,"0b4da505-fe4f-4c26-880d-30a184c32b15",559,"samsung SM-N900V",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-02-01 04:31:45","","2015-04-28 05:08:39","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 0;;Hardware : Qualcomm MSM8974;Revision : 0008;Serial  : 000043310000486a;","2265600"
"2247767","NULL",16,"3e8e04e3-6db6-4186-aa3f-4255c919a259",2150,"samsung SM-G900P",21,"Sprint",310,120,"310","120","310","120","310","120","English","2016-04-15 05:11:02","","2015-04-28 19:27:58","Processor : ARMv7 Processor rev 1 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 1;;Hardware : Qualcomm MSM8974PRO-AC;Revision : 000e;Serial  : 00005dcf000036e1;","2457600"
"2252328","NULL",16,"8aeb03a5-abd6-4a59-a15d-e4aa8400645d",563,"motorola XT1080",19,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-03-07 02:13:33","","2015-04-29 06:10:45","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x04d;CPU revision : 0;;Hardware : msm8960dt;Revision : 8300;Serial  : 0001000c049c6c82;Device  : obake-maxx;Radio  : 2;","1728000"
"2252428","1145997",11,"7405b944-1ba2-4958-87b1-0002197dc980",559,"samsung SM-N900V",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-05-10 01:43:53","","2015-04-29 06:24:48","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 0;;Hardware : Qualcomm MSM8974;Revision : 0008;Serial  : 000041c600004e09;","2265600"
"2252699","1586183",11,"86043693-fb66-4c48-86fc-0e354e9adf6b",2155,"samsung SM-G900V",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-05-10 05:42:37","","2015-04-29 07:00:04","Processor : ARMv7 Processor rev 1 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 1;;Hardware : Qualcomm MSM8974PRO-AC;Revision : 000e;Serial  : 0000102b000014fc;","2457600"
"2252998","NULL",11,"589194ef-6131-445c-82f8-28dcab7c69c5",2155,"samsung SM-G900V",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-04-09 02:52:50","","2015-04-29 07:35:23","Processor : ARMv7 Processor rev 1 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 1;;Hardware : Qualcomm MSM8974PRO-AC;Revision : 000e;Serial  : 0000d1c90000d260;","2457600"
"2257004","160577",11,"17a40918-b1db-410e-bccd-dae78effd2f2",125,"samsung SCH-I545",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2015-09-23 09:51:14","","2015-04-29 14:48:02","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : SAMSUNG JF;Revision : 000b;Serial  : 00004b9600004385;","1890000"
"2263476","NULL",16,"6433439d-da2d-454e-a648-61f9ebfb1617",65,"samsung SCH-I535",19,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2015-11-21 02:05:57","","2015-04-30 05:19:27","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x04d;CPU revision : 0;;Hardware : SAMSUNG M2_VZW;Revision : 000f;Serial  : 00000a03000060c4;","1512000"
"2263790","NULL",16,"2cabcdee-bd3e-4e64-8e7f-a5b762857427",216,"samsung GT-I9500",17,"AT&T",310,410,"310","410","370","1","370","1","español","2015-12-11 13:52:39","","2015-04-30 06:00:57","Processor : ARMv7 Processor rev 3 (v7l);processor : 0;BogoMIPS : 1590.88;;processor : 1;BogoMIPS : 1590.88;;processor : 2;BogoMIPS : 1590.88;;processor : 3;BogoMIPS : 1590.88;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x41;CPU architecture: 7;CPU variant : 0x2;CPU part : 0xc0f;CPU revision : 3;;Hardware : UNIVERSAL5410;Revision : 000a;Serial  : ed60407b4d00361f;","1600000"
"2265275","1884180",11,"dc0853e0-8720-4d15-814a-a05017eb2045",749,"samsung SAMSUNG-SM-N900A",21,"AT&T",310,410,"310","410","310","410","310","410","English","2016-01-19 23:11:46","","2015-04-30 08:55:04","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 0;;Hardware : Qualcomm MSM8974;Revision : 0008;Serial  : 0000662a00004a64;","2265600"
"2272871","1011769",11,"0e0330c4-7bef-441d-bed2-ad9a057efa29",2095,"samsung SAMSUNG-SM-G900A",21,"AT&T",310,410,"310","410","310","410","310","410","English","2015-10-27 18:29:13","","2015-05-01 00:08:37","Processor : ARMv7 Processor rev 1 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 1;;Hardware : Qualcomm MSM8974PRO-AC;Revision : 000e;Serial  : 00000c540000b64d;","2457600"
"2281278","NULL",16,"12e2e641-23cd-4d08-9a60-4c1981202a43",1194,"LGE Nexus 5",22,"HOME",310,410,"310","410","310","410","310","410","English","2015-10-14 10:54:03","","2015-05-01 15:51:29","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 0;;Hardware : Qualcomm MSM 8974 HAMMERHEAD (Flattened Device Tree);Revision : 000b;Serial  : 0000000000000000;","2265600"
"2283539","164515",11,"59dc0b08-e357-4c8f-bee6-ab9ad089fc81",125,"samsung SCH-I545",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2015-09-24 20:55:03","","2015-05-01 20:31:59","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : SAMSUNG JF;Revision : 000b;Serial  : 0000cb0b00002e76;","1890000"
"2300395","40600",2,"2a64f369-a17f-44d2-a0fc-cc3288da5663",125,"samsung SCH-I545",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-03-03 12:34:27","","2015-05-03 06:39:29","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : SAMSUNG JF;Revision : 000b;Serial  : 00001c9a00008887;","1890000"
"2305306","NULL",11,"cd452e85-24c6-45ff-ad9d-b21f3478e1d8",125,"samsung SCH-I545",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-02-01 03:14:35","","2015-05-03 15:10:07","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : SAMSUNG JF;Revision : 000b;Serial  : 00000b9d0000c350;","1890000"
"2311559","NULL",16,"c93d82e0-13f1-4955-a46d-d1fae8d06a77",168,"samsung SAMSUNG-SGH-I747",16,"MetroPCS",310,260,"310","260","310","260","310","260","español","2016-05-09 13:14:46","","2015-05-04 05:18:45","Processor : ARMv7 Processor rev 4 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x04d;CPU revision : 4;;Hardware : SAMSUNG M2_ATT;Revision : 0010;Serial  : 0000c60f000027f9;","1512000"
"2314302","NULL",16,"31e86e2d-5c4f-4f00-88fe-252ab093df15",2150,"samsung SM-G900P",21,"Boost Mobile",311,870,"311","870","311","870","311","870","English","2016-02-07 08:12:57","","2015-05-04 11:05:19","Processor : ARMv7 Processor rev 1 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 1;;Hardware : Qualcomm MSM8974PRO-AC;Revision : 000e;Serial  : 0000579f00006528;","2457600"
"2322861","123374",11,"aedb12c7-30e4-4ae6-8a65-569092ed2c57",125,"samsung SCH-I545",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-01-03 01:33:10","","2015-05-05 05:30:55","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : SAMSUNG JF;Revision : 000b;Serial  : 000091200000f28b;","1890000"
"2322876","1111437",2,"d62ab257-c7fc-424d-9c0f-96db08816fce",125,"samsung SCH-I545",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-05-10 04:20:35","","2015-05-05 05:34:04","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : SAMSUNG JF;Revision : 000b;Serial  : 0000469a0000508b;","1890000"
"2326073","NULL",16,"197df8aa-5cc6-4332-8366-f5aef73e9f33",572,"samsung SM-N900P",21,"Sprint",310,120,"310","120","310","120","310","120","English","2015-10-30 15:23:00","","2015-05-05 11:54:27","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 0;;Hardware : Qualcomm MSM8974;Revision : 0008;Serial  : 00004f7e0000bccc;","2265600"
"2328902","NULL",16,"9a3fb215-a0e6-48b0-bf0b-d67e7a981604",3705,"samsung SCH-R890",19,"U.S. Cellular",311,580,"311","580","311","580","311","580","English","2016-05-09 06:36:49","","2015-05-05 17:05:55","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x04d;CPU revision : 0;;Hardware : SAMSUNG SERRANO;Revision : 0008;Serial  : 0000b9ff0000976a;","1728000"
"2333369","NULL",11,"efd1327c-7112-42d2-a0ba-fede1c4356c1",125,"samsung SCH-I545",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-05-09 22:12:58","","2015-05-06 04:30:35","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : SAMSUNG JF;Revision : 000b;Serial  : 00009fd50000d715;","1890000"
"2334628","187711",11,"20ce652f-6a71-44a9-a31f-660955e394a3",125,"samsung SCH-I545",21,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2015-11-10 19:19:31","","2015-05-06 07:21:03","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : SAMSUNG JF;Revision : 000b;Serial  : 000060cd000034e0;","1890000"
"2341751","NULL",16,"f45d6cb7-c2a1-4c1e-b210-676017fd0c8f",2350,"HTC HTC Desire 610",19,"AT&T",310,410,"310","410","310","410","310","410","English","2016-03-26 21:30:49","","2015-05-06 22:44:03","Processor : ARMv7 Processor rev 3 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x41;CPU architecture: 7;CPU variant : 0x0;CPU part : 0xc07;CPU revision : 3;;Hardware : Qualcomm MSM 8226 (Flattened Device Tree);Revision : 0000;Serial  : 0000000000000000;","1190400"
"2345155","NULL",2,"110cfc3c-a7cd-4c8a-8324-d067a93beed9",18764,"kyocera KYOCERA-E6560",19,"AT&T",310,410,"310","410","310","410","310","410","English","2016-03-25 19:52:04","","2015-05-07 08:13:47","Processor : ARMv7 Processor rev 3 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x41;CPU architecture: 7;CPU variant : 0x0;CPU part : 0xc07;CPU revision : 3;;Hardware : Qualcomm MSM8928;Revision : 0000;Serial  : 0000000000000000;","1401600"
"2345333","NULL",16,"2dfab429-28b1-4e02-9fa1-d6e00678f8e3",69,"samsung SCH-I605",19,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-05-10 00:40:17","","2015-05-07 08:44:00","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 1592.52;;processor : 1;BogoMIPS : 2388.78;;processor : 3;BogoMIPS : 398.13;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls ;CPU implementer : 0x41;CPU architecture: 7;CPU variant : 0x3;CPU part : 0xc09;CPU revision : 0;;Chip name : EXYNOS4412;Chip revision : 0020;Hardware : SMDK4x12;Revision : 000a;Serial  : 99aebf3542f71702;","1600000"
"121316","NULL",11,"b39eb94e-c4f7-4f0e-924c-58328aebbf35",732,"samsung SM-N900T",18,"T-Mobile",310,260,"310","260","310","260","310","260","English","2016-02-22 06:42:01","6e9d7d287a2abd8fd36dde034b273f39","2014-08-29 03:48:51","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 38.40;;processor : 1;BogoMIPS : 38.40;;processor : 2;BogoMIPS : 38.40;;processor : 3;BogoMIPS : 38.40;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x2;CPU part : 0x06f;CPU revision : 0;;Hardware : Qualcomm MSM 8974 (Flattened Device Tree);Revision : 0008;Serial  : 00002d3d00005545;","2265600"
"127385","NULL",11,"1428d202-fe98-4cc4-ae01-01c3775851d6",1496,"samsung SC-03D",10,"NTT DOCOMO",440,10,"440","10","440","10","440","10","日本語","2016-05-10 05:46:19","7de40557b61261fc7ad30f52a07cf558","2014-08-29 04:57:12","Processor : ARMv7 Processor rev 2 (v7l);processor : 0;BogoMIPS : 13.54;;processor : 1;BogoMIPS : 13.54;;Features : swp half thumb fastmult vfp edsp neon vfpv3 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x0;CPU part : 0x02d;CPU revision : 2;;Hardware : SC-03D;Revision : 000b;Serial  : 4d1282cf26b71fe2;","1512000"
"135718","NULL",11,"b99e1264-64b2-4e0a-a5e5-27fce4d50d17",125,"samsung SCH-I545",19,"Verizon Wireless",311,480,"311","480","311","480","311","480","English","2016-05-10 03:19:42","29b840e9eb512196c18a12cd44766a7c","2014-08-29 06:22:05","Processor : ARMv7 Processor rev 0 (v7l);processor : 0;BogoMIPS : 13.53;;processor : 1;BogoMIPS : 13.53;;processor : 2;BogoMIPS : 13.53;;processor : 3;BogoMIPS : 13.53;;Features : swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 ;CPU implementer : 0x51;CPU architecture: 7;CPU variant : 0x1;CPU part : 0x06f;CPU revision : 0;;Hardware : SAMSUNG JF;Revision : 000b;Serial  : 000013e40000c246;","1890000"
